Datetime,Water Level ,QC
20/06/2011 00:00:00,479.465,2
21/06/2011 00:00:00,479.477,2
22/06/2011 00:00:00,479.488,2
23/06/2011 00:00:00,479.473,2
24/06/2011 00:00:00,479.472,2
25/06/2011 00:00:00,479.484,2
26/06/2011 00:00:00,479.48,2
27/06/2011 00:00:00,479.478,2
28/06/2011 00:00:00,479.48,2
29/06/2011 00:00:00,479.474,2
30/06/2011 00:00:00,479.472,2
01/07/2011 0:00:00,479.49,2
02/07/2011 0:00:00,479.494,2
03/07/2011 0:00:00,479.466,2
04/07/2011 0:00:00,479.483,2
05/07/2011 0:00:00,479.438,2
06/07/2011 0:00:00,479.421,2
07/07/2011 0:00:00,479.501,2
08/07/2011 0:00:00,479.411,2
09/07/2011 0:00:00,479.452,2
10/07/2011 0:00:00,479.473,2
11/07/2011 0:00:00,479.478,2
12/07/2011 0:00:00,479.409,2
13/07/2011 00:00:00,479.442,2
14/07/2011 00:00:00,479.455,2
15/07/2011 00:00:00,479.427,2
16/07/2011 00:00:00,479.448,2
17/07/2011 00:00:00,479.466,2
18/07/2011 00:00:00,479.427,2
19/07/2011 00:00:00,479.394,2
20/07/2011 00:00:00,479.366,2
21/07/2011 00:00:00,479.357,2
22/07/2011 00:00:00,479.403,2
23/07/2011 00:00:00,479.447,2
24/07/2011 00:00:00,479.48,2
25/07/2011 00:00:00,479.473,2
26/07/2011 00:00:00,479.456,2
27/07/2011 00:00:00,479.426,2
28/07/2011 00:00:00,479.424,2
29/07/2011 00:00:00,479.408,2
30/07/2011 00:00:00,479.394,2
31/07/2011 00:00:00,479.41,2
01/08/2011 0:00:00,479.427,2
02/08/2011 0:00:00,479.432,2
03/08/2011 0:00:00,479.399,2
04/08/2011 0:00:00,479.363,2
05/08/2011 0:00:00,479.373,2
06/08/2011 0:00:00,479.4,2
07/08/2011 0:00:00,479.424,2
08/08/2011 0:00:00,479.435,2
09/08/2011 0:00:00,479.416,2
10/08/2011 0:00:00,479.424,2
11/08/2011 0:00:00,479.452,2
12/08/2011 0:00:00,479.428,2
13/08/2011 00:00:00,479.408,2
14/08/2011 00:00:00,479.424,2
15/08/2011 00:00:00,479.439,2
16/08/2011 00:00:00,479.442,2
17/08/2011 00:00:00,479.439,2
18/08/2011 00:00:00,479.348,2
19/08/2011 00:00:00,479.295,2
20/08/2011 00:00:00,479.272,2
21/08/2011 00:00:00,479.339,2
22/08/2011 00:00:00,479.381,2
23/08/2011 00:00:00,479.403,2
24/08/2011 00:00:00,479.402,2
25/08/2011 00:00:00,479.371,2
26/08/2011 00:00:00,479.373,2
27/08/2011 00:00:00,479.416,2
28/08/2011 00:00:00,479.432,2
29/08/2011 00:00:00,479.444,2
30/08/2011 00:00:00,479.453,2
31/08/2011 00:00:00,479.455,2
01/09/2011 0:00:00,479.459,2
02/09/2011 0:00:00,479.458,2
03/09/2011 0:00:00,479.453,2
04/09/2011 0:00:00,479.448,2
05/09/2011 0:00:00,479.444,2
06/09/2011 0:00:00,479.44,2
07/09/2011 0:00:00,479.433,2
08/09/2011 0:00:00,479.423,2
09/09/2011 0:00:00,479.44,2
10/09/2011 0:00:00,479.469,2
11/09/2011 0:00:00,479.472,2
12/09/2011 0:00:00,479.441,2
13/09/2011 00:00:00,479.393,2
14/09/2011 00:00:00,479.357,2
15/09/2011 00:00:00,479.342,2
16/09/2011 00:00:00,479.354,2
17/09/2011 00:00:00,479.371,2
18/09/2011 00:00:00,479.392,2
19/09/2011 00:00:00,479.405,2
20/09/2011 00:00:00,479.431,2
21/09/2011 00:00:00,479.454,2
22/09/2011 00:00:00,479.464,2
23/09/2011 00:00:00,479.473,2
24/09/2011 00:00:00,479.49,2
25/09/2011 00:00:00,479.472,2
26/09/2011 00:00:00,479.419,2
27/09/2011 00:00:00,479.377,2
28/09/2011 00:00:00,479.356,151
29/09/2011 00:00:00,479.299,151
30/09/2011 00:00:00,479.257,151
01/10/2011 0:00:00,479.424,2
02/10/2011 0:00:00,479.424,2
03/10/2011 0:00:00,479.356,2
04/10/2011 0:00:00,479.398,2
05/10/2011 0:00:00,479.448,2
06/10/2011 0:00:00,479.485,2
07/10/2011 0:00:00,479.475,2
08/10/2011 0:00:00,479.465,2
09/10/2011 0:00:00,479.443,2
10/10/2011 0:00:00,479.404,2
11/10/2011 0:00:00,479.414,2
12/10/2011 0:00:00,479.425,2
13/10/2011 00:00:00,479.429,2
14/10/2011 00:00:00,479.424,2
15/10/2011 00:00:00,479.421,2
16/10/2011 00:00:00,479.424,2
17/10/2011 00:00:00,479.418,2
18/10/2011 00:00:00,479.423,2
19/10/2011 00:00:00,479.429,2
20/10/2011 00:00:00,479.437,2
21/10/2011 00:00:00,479.426,2
22/10/2011 00:00:00,479.35,2
23/10/2011 00:00:00,479.319,2
24/10/2011 00:00:00,479.351,2
25/10/2011 00:00:00,479.407,2
26/10/2011 00:00:00,479.434,2
27/10/2011 00:00:00,479.428,2
28/10/2011 00:00:00,479.424,2
29/10/2011 00:00:00,479.443,2
30/10/2011 00:00:00,479.477,2
31/10/2011 00:00:00,479.49,2
01/11/2011 0:00:00,479.439,2
02/11/2011 0:00:00,479.438,2
03/11/2011 0:00:00,479.443,2
04/11/2011 0:00:00,479.446,2
05/11/2011 0:00:00,479.44,2
06/11/2011 0:00:00,479.435,2
07/11/2011 0:00:00,479.434,2
08/11/2011 0:00:00,479.434,2
09/11/2011 0:00:00,479.361,2
10/11/2011 0:00:00,479.322,2
11/11/2011 0:00:00,479.338,2
12/11/2011 0:00:00,479.349,2
13/11/2011 00:00:00,479.355,2
14/11/2011 00:00:00,479.364,2
15/11/2011 00:00:00,479.369,2
16/11/2011 00:00:00,479.386,2
17/11/2011 00:00:00,479.387,2
18/11/2011 00:00:00,479.377,2
19/11/2011 00:00:00,479.383,2
20/11/2011 00:00:00,479.4,2
21/11/2011 00:00:00,479.4,2
22/11/2011 00:00:00,479.398,2
23/11/2011 00:00:00,479.418,2
24/11/2011 00:00:00,479.43,2
25/11/2011 00:00:00,479.421,2
26/11/2011 00:00:00,479.42,2
27/11/2011 00:00:00,479.425,2
28/11/2011 00:00:00,479.417,2
29/11/2011 00:00:00,479.408,2
30/11/2011 00:00:00,479.407,2
01/12/2011 0:00:00,479.41,2
02/12/2011 0:00:00,479.416,2
03/12/2011 0:00:00,479.415,2
04/12/2011 0:00:00,479.43,2
05/12/2011 0:00:00,479.431,2
06/12/2011 0:00:00,479.419,2
07/12/2011 0:00:00,479.408,2
08/12/2011 0:00:00,479.398,2
09/12/2011 0:00:00,479.388,2
10/12/2011 0:00:00,479.378,2
11/12/2011 0:00:00,479.389,2
12/12/2011 0:00:00,479.387,2
13/12/2011 00:00:00,479.392,2
14/12/2011 00:00:00,479.395,2
15/12/2011 00:00:00,479.389,2
16/12/2011 00:00:00,479.379,2
17/12/2011 00:00:00,479.37,2
18/12/2011 00:00:00,479.369,2
19/12/2011 00:00:00,479.413,2
20/12/2011 00:00:00,479.418,2
21/12/2011 00:00:00,479.43,2
22/12/2011 00:00:00,479.426,2
23/12/2011 00:00:00,479.417,2
24/12/2011 00:00:00,479.408,151
25/12/2011 00:00:00,479.401,151
26/12/2011 00:00:00,479.395,151
27/12/2011 00:00:00,479.39,151
28/12/2011 00:00:00,479.384,151
29/12/2011 00:00:00,479.379,151
30/12/2011 00:00:00,479.373,151
31/12/2011 00:00:00,479.368,151
01/01/2012 0:00:00,479.362,151
02/01/2012 0:00:00,479.357,151
03/01/2012 0:00:00,479.354,151
04/01/2012 0:00:00,479.35,2
05/01/2012 0:00:00,479.339,2
06/01/2012 0:00:00,479.326,2
07/01/2012 0:00:00,479.315,2
08/01/2012 0:00:00,479.316,2
09/01/2012 0:00:00,479.307,2
10/01/2012 0:00:00,479.296,2
11/01/2012 0:00:00,479.288,2
12/01/2012 0:00:00,479.277,2
13/01/2012 00:00:00,479.267,2
14/01/2012 00:00:00,479.257,2
15/01/2012 00:00:00,479.246,2
16/01/2012 00:00:00,479.233,2
17/01/2012 00:00:00,479.224,2
18/01/2012 00:00:00,479.217,2
19/01/2012 00:00:00,479.203,2
20/01/2012 00:00:00,479.188,2
21/01/2012 00:00:00,479.177,2
22/01/2012 00:00:00,479.162,2
23/01/2012 00:00:00,479.15,2
24/01/2012 00:00:00,479.138,2
25/01/2012 00:00:00,479.125,2
26/01/2012 00:00:00,479.111,2
27/01/2012 00:00:00,479.095,2
28/01/2012 00:00:00,479.083,2
29/01/2012 00:00:00,479.074,2
30/01/2012 00:00:00,479.076,2
31/01/2012 00:00:00,479.071,2
01/02/2012 0:00:00,479.057,2
02/02/2012 0:00:00,479.04,2
03/02/2012 0:00:00,479.029,2
04/02/2012 0:00:00,479.019,2
05/02/2012 0:00:00,479.009,2
06/02/2012 0:00:00,479,2
07/02/2012 0:00:00,478.989,2
08/02/2012 0:00:00,478.977,2
09/02/2012 0:00:00,478.963,2
10/02/2012 0:00:00,478.952,2
11/02/2012 0:00:00,478.942,2
12/02/2012 0:00:00,478.93,2
13/02/2012 00:00:00,478.917,2
14/02/2012 00:00:00,478.904,2
15/02/2012 00:00:00,478.893,2
16/02/2012 00:00:00,478.874,2
17/02/2012 00:00:00,478.832,2
18/02/2012 00:00:00,478.79,2
19/02/2012 00:00:00,478.719,2
20/02/2012 00:00:00,478.679,2
21/02/2012 00:00:00,478.649,2
22/02/2012 00:00:00,478.609,2
23/02/2012 00:00:00,478.526,2
24/02/2012 00:00:00,478.445,2
25/02/2012 00:00:00,478.396,2
26/02/2012 00:00:00,478.374,2
27/02/2012 00:00:00,478.44,2
28/02/2012 00:00:00,478.5,2
29/02/2012 00:00:00,478.489,2
01/03/2012 0:00:00,478.505,2
02/03/2012 0:00:00,478.5,2
03/03/2012 0:00:00,478.495,2
04/03/2012 0:00:00,478.501,2
05/03/2012 0:00:00,478.494,2
06/03/2012 0:00:00,478.489,2
07/03/2012 0:00:00,478.487,2
08/03/2012 0:00:00,478.478,2
09/03/2012 0:00:00,478.458,2
10/03/2012 0:00:00,478.442,2
11/03/2012 0:00:00,478.427,2
12/03/2012 0:00:00,478.41,2
13/03/2012 00:00:00,478.396,2
14/03/2012 00:00:00,478.386,2
15/03/2012 00:00:00,478.395,2
16/03/2012 00:00:00,478.43,2
17/03/2012 00:00:00,478.426,2
18/03/2012 00:00:00,478.428,2
19/03/2012 00:00:00,478.422,2
20/03/2012 00:00:00,478.413,2
21/03/2012 00:00:00,478.405,2
22/03/2012 00:00:00,478.399,2
23/03/2012 00:00:00,478.386,2
24/03/2012 00:00:00,478.35,2
25/03/2012 00:00:00,478.307,2
26/03/2012 00:00:00,478.264,2
27/03/2012 00:00:00,478.22,2
28/03/2012 00:00:00,478.178,2
29/03/2012 00:00:00,478.136,2
30/03/2012 00:00:00,478.099,2
31/03/2012 00:00:00,478.063,2
01/04/2012 0:00:00,478.022,2
